x1;x2;x3;x4;Kelas
21,5;65;948,3;3;1
21,5;68;946,5;5;1
21,3;68;945,9;3;1
21,5;66;945,1;4;1
22,2;66;944,9;9;1
22,7;65;947,2;5;1
22,4;72;947,5;3;1
22,3;78;947,8;6;1
22,4;77;947,5;7;1
21,3;74;947,1;3;1
21,7;67;947,8;4;1
21,4;68;947,2;4;1
21,9;68;948,9;4;1
21,9;70;947,8;5;1
21,6;67;947,1;4;1
20,7;68;948,3;7;1
20,9;61;946,7;5;1
20,3;62;946,9;5;1
21,2;68;947,3;5;1
22,6;70;947,1;6;1
23,1;75;946,9;6;1
22,9;77;947,9;3;1
23,7;65;947,5;3;1
22,6;65;946,2;6;1
22,5;67;947;4;1
21,6;69;948,2;5;1
22,8;73;949,1;5;1
22,3;72;948,8;5;1
23,9;67;947,8;4;1
22,2;64;947,3;3;1
21,4;70;949,3;5;1
22,1;71;947,3;5;1
23,2;74;948,5;6;1
23,6;68;946,7;3;1
23,2;73;946,5;5;1
23,3;79;947,4;4;1
23,8;71;947,4;4;1
24;70;946,1;4;2
24;72;947,1;6;2
22,9;74;945,3;3;2
22,2;70;946,4;1;2
21,6;79;947,1;5;2
22;70;946,6;1;2
20,5;71;944,5;3;2
23;84;947,2;4;2
23;71;948,8;5;2
23,3;70;948,4;6;2
23,7;68;949;6;2
23;66;947,1;4;2
23;71;948,8;5;2
23,3;70;948,4;6;2
23,7;68;949;6;2
23;66;947,1;4;2
23,1;75;947,4;4;2
22,6;68;948,6;3;2
23,5;72;949;4;2
24,3;74;949,5;1;2
24,4;72;947,7;5;2
25,7;70;945,7;6;2
24,3;78;944,1;4;2
23;88;943,2;6;2
24,8;75;945,3;3;2
23,8;84;946,1;4;2
24,4;81;944;5;2
24,6;81;946,1;2;2
23,3;89;946,9;2;2
24,9;77;944,9;3;2
25;77;944;3;2
25,4;63;944;11;2
25,5;65;945;8;2
23,8;83;944,9;4;2
23,5;76;945,5;5;2
25,4;68;945,3;7;2
24,1;79;947,1;4;2
24,6;80;945,6;2;2
23,6;82;946,2;4;3
22,7;77;944,4;4;3
23,7;80;943,4;4;3
22,1;76;943,9;3;3
22,9;83;947,4;5;3
23,1;76;943,6;2;3
22,7;77;944,4;4;3
23,7;80;943,4;4;3
22,1;76;943,9;3;3
22,9;83;947,4;5;3
23,1;76;943,6;2;3
25;71;947,1;4;3
24,9;76;944,7;5;3
24,7;68;945,6;5;3
25,8;67;945,2;3;3
25,8;67;944,5;8;3
25,2;76;945,6;5;3
24,8;76;944,4;3;3
24,5;78;943,8;4;3
25,1;79;944,2;4;3
24,6;79;944;1;3
23,8;76;944,6;2;3
23,7;80;944,4;2;3
25,1;77;943,2;2;3
23,9;80;944,3;2;3
23,6;83;945,8;2;3
22,8;82;946,2;2;3
22;91;945,8;3;3
23,1;83;945,6;3;3
22,6;89;945,4;1;3
24,3;79;945,2;6;3
24;78;947;5;3
24,2;77;946,9;3;3
23,4;86;946,1;2;3
23,8;79;946,6;3;3
23,9;81;946,5;1;3
24,3;78;946,3;2;3
23,2;85;946,2;1;3
